sample	fastq1	fastq2	data_dir	control	replicate
NKX2_2_K3	NKX2_2_K3_S36_L001_R1_001.fastq.gz	NKX2_2_K3_S36_L001_R2_001.fastq.gz	raw_data/run_1/	input_K3	3
input_K1	input_K1_S26_L001_R1_001.fastq.gz	input_K1_S26_L001_R2_001.fastq.gz	raw_data/run_1/	No_ctl	1
NKX2_2_S3	NKX2_2_S3_S32_L001_R1_001.fastq.gz	NKX2_2_S3_S32_L001_R2_001.fastq.gz	raw_data/run_1/	input_S3	3
input_S1	input_S1_S22_L001_R1_001.fastq.gz	input_S1_S22_L001_R2_001.fastq.gz	raw_data/run_1/	No_ctl	1
input_S3	input_S3_S24_L001_R1_001.fastq.gz	input_S3_S24_L001_R2_001.fastq.gz	raw_data/run_1/	No_ctl	3
input_S4	input_S4_S25_L001_R1_001.fastq.gz	input_S4_S25_L001_R2_001.fastq.gz	raw_data/run_1/	No_ctl	4
input_K2	input_K2_S27_L001_R1_001.fastq.gz	input_K2_S27_L001_R2_001.fastq.gz	raw_data/run_1/	No_ctl	2
input_S2	input_S2_S23_L001_R1_001.fastq.gz	input_S2_S23_L001_R2_001.fastq.gz	raw_data/run_1/	No_ctl	2
NKX2_2_K4	NKX2_2_K4_S37_L001_R1_001.fastq.gz	NKX2_2_K4_S37_L001_R2_001.fastq.gz	raw_data/run_1/	input_K4	4
NKX2_2_S4	NKX2_2_S4_S33_L001_R1_001.fastq.gz	NKX2_2_S4_S33_L001_R2_001.fastq.gz	raw_data/run_1/	input_S4	4
NKX2_2_K1	NKX2_2_K1_S34_L001_R1_001.fastq.gz	NKX2_2_K1_S34_L001_R2_001.fastq.gz	raw_data/run_1/	input_K1	1
NKX2_2_S1	NKX2_2_S1_S30_L001_R1_001.fastq.gz	NKX2_2_S1_S30_L001_R2_001.fastq.gz	raw_data/run_1/	input_S1	1
input_K4	input_K4_S29_L001_R1_001.fastq.gz	input_K4_S29_L001_R2_001.fastq.gz	raw_data/run_1/	No_ctl	4
NKX2_2_K2	NKX2_2_K2_S35_L001_R1_001.fastq.gz	NKX2_2_K2_S35_L001_R2_001.fastq.gz	raw_data/run_1/	input_K2	2
NKX2_2_S2	NKX2_2_S2_S31_L001_R1_001.fastq.gz	NKX2_2_S2_S31_L001_R2_001.fastq.gz	raw_data/run_1/	input_S2	2
input_K3	input_K3_S28_L001_R1_001.fastq.gz	input_K3_S28_L001_R2_001.fastq.gz	raw_data/run_1/	No_ctl	3
